Item Fat Content,Item Identifier,Type,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Sales,Rating
Regular,FDX32,Food,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,10,15.1,145.4786,5
Low Fat,NCB42,Non-Consumable,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.86,11.8,115.3492,5
Regular,FDR28,Food,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,2.59,13.85,165.021,5
Regular,FDL50,Food,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,4.23,12.15,126.5046,5
Low Fat,DRI25,Drink,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,3.4,19.6,55.1614,5
Low Fat,FDS52,Food,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.55,8.89,102.4016,5
Low Fat,NCU05,Non-Consumable,Health and Hygiene,2011,OUT010,Tier 3,Small,Grocery Store,9.83,11.8,81.4618,5
Low Fat,NCD30,Non-Consumable,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,2.69,19.7,96.0726,5
Low Fat,FDW20,Food,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,2.41,20.75,124.173,5
Low Fat,FDX25,Food,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,10.16,12.31,181.9292,5
Low Fat,FDX21,Food,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,8.46,12.99,109.8912,5
Low Fat,NCU41,Non-Consumable,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,5.2,18.85,192.1846,5
Low Fat,FDL20,Food,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,12.89,17.1,112.3886,5
Low Fat,NCR54,Non-Consumable,Household,2014,OUT013,Tier 3,High,Supermarket Type1,9.05,16.35,195.211,5
Low Fat,FDH19,Food,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,3.29,12.82,173.1738,5
Regular,FDB57,Food,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,1.88,20.25,222.1772,5
Low Fat,FDO23,Food,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,14.7,17.85,93.7436,5
Low Fat,NCB07,Non-Consumable,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,7.76,19.2,197.611,5
Low Fat,FDJ56,Food,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,18.25,13.22,98.77,5
Low Fat,DRN47,Drink,Hard Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,1.69,12.1,178.566,5
Regular,FDZ07,Food,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0,13.22,60.2194,5
Low Fat,NCK31,Non-Consumable,Others,2018,OUT027,Tier 3,Medium,Supermarket Type3,2.69,13.85,50.9666,5
Low Fat,FDJ41,Food,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,2.3,6.85,261.6594,5
Low Fat,DRI51,Drink,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,4.24,17.25,173.1764,5
Regular,FDC40,Food,Dairy,2020,OUT017,Tier 2,Medium,Supermarket Type1,6.54,16,76.1986,5
Low Fat,FDB53,Food,Frozen Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,14.02,13.35,150.2392,5
Low Fat,FDA16,Food,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,3.39,6.695,221.9456,5
Regular,FDO19,Food,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,1.65,13.22,47.4034,5
Low Fat,FDO04,Food,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,2.65,16.6,57.2614,5
Regular,FDL25,Food,Breakfast,2012,OUT049,Tier 1,Medium,Supermarket Type1,13.11,6.92,93.1804,5
Low Fat,NCJ30,Non-Consumable,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,8.06,5.82,167.779,5
Low Fat,NCQ41,Non-Consumable,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,1.95,14.8,196.3794,5
Low Fat,DRJ35,Drink,Hard Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,4.65,10.1,59.9878,5
Low Fat,NCE31,Non-Consumable,Household,2014,OUT013,Tier 3,High,Supermarket Type1,18.47,7.67,35.4216,5
Low Fat,FDY09,Food,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,2.53,15.6,174.3054,5
Low Fat,FDZ04,Food,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,3.79,9.31,61.651,5
Low Fat,FDY07,Food,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,12.18,11.8,46.8402,5
Regular,FDO45,Food,Snack Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,3.8,13.15,88.6856,5
Low Fat,FDB09,Food,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,5.75,16.25,126.2046,5
Regular,FDP51,Food,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,8.53,13.85,119.6124,5
Regular,FDT50,Food,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,10.81,6.75,95.6752,5
Regular,FDQ08,Food,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,1.88,13.22,62.9536,5
Low Fat,DRL11,Drink,Hard Drinks,2015,OUT045,Tier 2,Medium,Supermarket Type1,4.81,10.5,159.0946,5
Low Fat,FDT34,Food,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,17.46,9.3,104.2964,5
Regular,FDP01,Food,Breakfast,2011,OUT010,Tier 3,Medium,Grocery Store,10.6,20.75,150.5682,5
Low Fat,NCJ31,Non-Consumable,Others,2014,OUT013,Tier 3,High,Supermarket Type1,18.25,19.2,239.2196,5
Low Fat,NCL30,Non-Consumable,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,4.89,18.1,127.3336,5
Low Fat,FDF04,Food,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,1.37,17.5,256.3304,5
Low Fat,NCZ42,Non-Consumable,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,1.13,10.5,235.5248,5
Low Fat,FDG24,Food,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,1.47,7.975,82.425,5
Low Fat,FDV49,Food,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,2.59,10,264.6226,5
Low Fat,FDX01,Food,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,2.42,10.1,114.915,5
Low Fat,DRF27,Drink,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,2.85,8.93,152.234,5
Low Fat,FDF16,Food,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,8.63,7.3,147.2076,5
Low Fat,FDU04,Food,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.56,7.93,122.1414,5
Low Fat,FDP04,Food,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,1.38,15.35,62.7168,5
Low Fat,FDD05,Food,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,1.66,19.35,120.9098,5
Low Fat,FDV07,Food,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,3.13,9.5,111.1228,5
Low Fat,FDT20,Food,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,4.15,10.5,39.2164,5
Low Fat,FDC44,Food,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0,15.6,111.9518,5
Low Fat,DRM59,Drink,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.36,5.88,153.8998,5
Low Fat,DRG23,Drink,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,8.69,8.88,153.3682,5
Low Fat,NCJ29,Non-Consumable,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,3.52,10.6,84.7224,5
Low Fat,NCM42,Non-Consumable,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,2.84,6.13,110.0912,5
Low Fat,NCY42,Non-Consumable,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,1.52,6.38,144.947,5
Low Fat,NCX54,Non-Consumable,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,4.81,9.195,107.7622,5
Low Fat,NCI06,Non-Consumable,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,4.78,11.3,180.766,5
Low Fat,NCQ02,Non-Consumable,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.75,12.6,186.9556,5
Low Fat,NCR38,Non-Consumable,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,11.37,17.25,253.4724,5
Low Fat,NCM30,Non-Consumable,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,6.74,19.1,41.9796,5
Low Fat,FDK43,Food,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,2.69,9.8,126.302,5
Low Fat,FDK21,Food,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,1,7.905,249.6408,5
Low Fat,FDR45,Food,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,2.9,10.8,239.2222,5
Low Fat,FDV09,Food,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,2.06,12.1,147.5734,5
Regular,FDU12,Food,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,7.59,15.5,261.7568,5
Regular,FDZ47,Food,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,7.94,20.7,99.8042,5
Regular,FDO11,Food,Breads,2012,OUT049,Tier 1,Medium,Supermarket Type1,3.03,8,247.4092,5
Regular,FDU49,Food,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,3.07,19.5,85.554,5
Regular,FDA02,Food,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,2.98,14,145.4786,5
Regular,FDV26,Food,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0,20.25,194.2794,5
Regular,FDA04,Food,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,6.68,11.3,257.2962,5
Regular,FDO52,Food,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,7.73,11.6,172.4106,5
Regular,FDA40,Food,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,9.94,16,87.0856,5
Regular,FDS27,Food,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,1.25,10.195,197.111,5
Regular,FDU15,Food,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,2.66,13.65,37.9532,5
Regular,FDV33,Food,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,2.74,9.6,259.2304,5
Regular,FDV34,Food,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,1.14,10.695,73.5038,5
Regular,FDX46,Food,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,5.82,12.3,59.1562,5
Low Fat,NCA53,Non-Consumable,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.99,11.395,50.3034,5
Regular,FDT24,Food,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,18.61,12.35,78.2328,5
Regular,FDX27,Food,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,11.43,20.7,94.9436,5
Low Fat,NCQ38,Non-Consumable,Others,2018,OUT019,Tier 1,Small,Grocery Store,2.34,13.85,108.228,5
Low Fat,FDK02,Food,Canned,2018,OUT019,Tier 1,Small,Grocery Store,19.65,12.31,120.544,5
Low Fat,FDI15,Food,Dairy,2018,OUT019,Tier 1,Small,Grocery Store,24.75,13.43,263.1884,5
Low Fat,FDE09,Food,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,3.78,13.22,109.7228,5
Low Fat,FDS55,Food,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,14.21,13.22,150.3734,5
Low Fat,FDZ56,Food,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,4.51,13.22,167.5474,5
Low Fat,NCA05,Non-Consumable,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,4.4,13.14,148.2734,5
Low Fat,NCK29,Non-Consumable,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,0,13.14,123.473,5
Low Fat,NCU29,Non-Consumable,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,4.46,13.14,145.976,5
Low Fat,NCX41,Non-Consumable,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,3.1,13.14,210.5244,5
Low Fat,NCG07,Non-Consumable,Household,2018,OUT019,Tier 1,Small,Grocery Store,9.19,13.38,189.753,5
Low Fat,NCI30,Non-Consumable,Household,2018,OUT019,Tier 1,Small,Grocery Store,10.32,13.38,244.346,5
Low Fat,NCR54,Non-Consumable,Household,2018,OUT019,Tier 1,Small,Grocery Store,15.86,13.38,194.711,5
Low Fat,NCT06,Non-Consumable,Household,2018,OUT019,Tier 1,Small,Grocery Store,6.78,13.38,167.7842,5
Low Fat,FDN15,Food,Meat,2018,OUT019,Tier 1,Small,Grocery Store,2.93,12.82,140.318,5
Low Fat,FDJ45,Food,Seafood,2018,OUT019,Tier 1,Small,Grocery Store,12.85,12.55,34.2216,5
Regular,FDL13,Food,Breakfast,2018,OUT019,Tier 1,Small,Grocery Store,9.86,12.77,232.73,5
Regular,FDL02,Food,Canned,2018,OUT019,Tier 1,Small,Grocery Store,18.22,12.31,107.1622,5
Regular,FDF56,Food,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,20.92,13.22,179.1976,5
Regular,FDQ27,Food,Meat,2018,OUT019,Tier 1,Small,Grocery Store,7.75,12.82,101.399,5
